T,B,Olap,K,Var5m,TeffsNOTShared,Rxeff,ICC,CAC,Power
6,2,5,4,10,0,0,0.01,1,0.05
6,2,4,4,10,0,0,0.01,1,0.05
6,2,3,4,10,0,0,0.01,1,0.05
6,2,2,4,10,0,0,0.01,1,0.05
6,2,1,4,10,0,0,0.01,1,0.05
6,2,0,4,10,0,0,0.01,1,0.05
6,2,5,4,10,1,0,0.01,1,0.05
6,2,4,4,10,1,0,0.01,1,0.05
6,2,3,4,10,1,0,0.01,1,0.05
6,2,2,4,10,1,0,0.01,1,0.05
6,2,1,4,10,1,0,0.01,1,0.05
6,2,0,4,10,1,0,0.01,1,0.05
6,2,5,4,10,0,0.15,0.01,1,0.718
6,2,4,4,10,0,0.15,0.01,1,0.763
6,2,3,4,10,0,0.15,0.01,1,0.808
6,2,2,4,10,0,0.15,0.01,1,0.832
6,2,1,4,10,0,0.15,0.01,1,0.817
6,2,0,4,10,0,0.15,0.01,1,0.697
6,2,5,4,10,1,0.15,0.01,1,0.697
6,2,4,4,10,1,0.15,0.01,1,0.697
6,2,3,4,10,1,0.15,0.01,1,0.697
6,2,2,4,10,1,0.15,0.01,1,0.697
6,2,1,4,10,1,0.15,0.01,1,0.697
6,2,0,4,10,1,0.15,0.01,1,0.697
6,2,5,4,10,0,0,0.05,1,0.05
6,2,4,4,10,0,0,0.05,1,0.05
6,2,3,4,10,0,0,0.05,1,0.05
6,2,2,4,10,0,0,0.05,1,0.05
6,2,1,4,10,0,0,0.05,1,0.05
6,2,0,4,10,0,0,0.05,1,0.05
6,2,5,4,10,1,0,0.05,1,0.05
6,2,4,4,10,1,0,0.05,1,0.05
6,2,3,4,10,1,0,0.05,1,0.05
6,2,2,4,10,1,0,0.05,1,0.05
6,2,1,4,10,1,0,0.05,1,0.05
6,2,0,4,10,1,0,0.05,1,0.05
6,2,5,4,10,0,0.15,0.05,1,0.635
6,2,4,4,10,0,0.15,0.05,1,0.663
6,2,3,4,10,0,0.15,0.05,1,0.7
6,2,2,4,10,0,0.15,0.05,1,0.732
6,2,1,4,10,0,0.15,0.05,1,0.737
6,2,0,4,10,0,0.15,0.05,1,0.624
6,2,5,4,10,1,0.15,0.05,1,0.624
6,2,4,4,10,1,0.15,0.05,1,0.624
6,2,3,4,10,1,0.15,0.05,1,0.624
6,2,2,4,10,1,0.15,0.05,1,0.624
6,2,1,4,10,1,0.15,0.05,1,0.624
6,2,0,4,10,1,0.15,0.05,1,0.624
6,2,5,4,10,0,0,0.1,1,0.05
6,2,4,4,10,0,0,0.1,1,0.05
6,2,3,4,10,0,0,0.1,1,0.05
6,2,2,4,10,0,0,0.1,1,0.05
6,2,1,4,10,0,0,0.1,1,0.05
6,2,0,4,10,0,0,0.1,1,0.05
6,2,5,4,10,1,0,0.1,1,0.05
6,2,4,4,10,1,0,0.1,1,0.05
6,2,3,4,10,1,0,0.1,1,0.05
6,2,2,4,10,1,0,0.1,1,0.05
6,2,1,4,10,1,0,0.1,1,0.05
6,2,0,4,10,1,0,0.1,1,0.05
6,2,5,4,10,0,0.15,0.1,1,0.624
6,2,4,4,10,0,0.15,0.1,1,0.642
6,2,3,4,10,0,0.15,0.1,1,0.667
6,2,2,4,10,0,0.15,0.1,1,0.695
6,2,1,4,10,0,0.15,0.1,1,0.708
6,2,0,4,10,0,0.15,0.1,1,0.617
6,2,5,4,10,1,0.15,0.1,1,0.617
6,2,4,4,10,1,0.15,0.1,1,0.617
6,2,3,4,10,1,0.15,0.1,1,0.617
6,2,2,4,10,1,0.15,0.1,1,0.617
6,2,1,4,10,1,0.15,0.1,1,0.617
6,2,0,4,10,1,0.15,0.1,1,0.617
6,2,5,4,10,0,0,0.01,0.95,0.05
6,2,4,4,10,0,0,0.01,0.95,0.05
6,2,3,4,10,0,0,0.01,0.95,0.05
6,2,2,4,10,0,0,0.01,0.95,0.05
6,2,1,4,10,0,0,0.01,0.95,0.05
6,2,0,4,10,0,0,0.01,0.95,0.05
6,2,5,4,10,1,0,0.01,0.95,0.05
6,2,4,4,10,1,0,0.01,0.95,0.05
6,2,3,4,10,1,0,0.01,0.95,0.05
6,2,2,4,10,1,0,0.01,0.95,0.05
6,2,1,4,10,1,0,0.01,0.95,0.05
6,2,0,4,10,1,0,0.01,0.95,0.05
6,2,5,4,10,0,0.15,0.01,0.95,0.719
6,2,4,4,10,0,0.15,0.01,0.95,0.764
6,2,3,4,10,0,0.15,0.01,0.95,0.809
6,2,2,4,10,0,0.15,0.01,0.95,0.833
6,2,1,4,10,0,0.15,0.01,0.95,0.817
6,2,0,4,10,0,0.15,0.01,0.95,0.698
6,2,5,4,10,1,0.15,0.01,0.95,0.698
6,2,4,4,10,1,0.15,0.01,0.95,0.698
6,2,3,4,10,1,0.15,0.01,0.95,0.698
6,2,2,4,10,1,0.15,0.01,0.95,0.698
6,2,1,4,10,1,0.15,0.01,0.95,0.698
6,2,0,4,10,1,0.15,0.01,0.95,0.698
6,2,5,4,10,0,0,0.05,0.95,0.05
6,2,4,4,10,0,0,0.05,0.95,0.05
6,2,3,4,10,0,0,0.05,0.95,0.05
6,2,2,4,10,0,0,0.05,0.95,0.05
6,2,1,4,10,0,0,0.05,0.95,0.05
6,2,0,4,10,0,0,0.05,0.95,0.05
6,2,5,4,10,1,0,0.05,0.95,0.05
6,2,4,4,10,1,0,0.05,0.95,0.05
6,2,3,4,10,1,0,0.05,0.95,0.05
6,2,2,4,10,1,0,0.05,0.95,0.05
6,2,1,4,10,1,0,0.05,0.95,0.05
6,2,0,4,10,1,0,0.05,0.95,0.05
6,2,5,4,10,0,0.15,0.05,0.95,0.628
6,2,4,4,10,0,0.15,0.05,0.95,0.657
6,2,3,4,10,0,0.15,0.05,0.95,0.695
6,2,2,4,10,0,0.15,0.05,0.95,0.728
6,2,1,4,10,0,0.15,0.05,0.95,0.732
6,2,0,4,10,0,0.15,0.05,0.95,0.617
6,2,5,4,10,1,0.15,0.05,0.95,0.617
6,2,4,4,10,1,0.15,0.05,0.95,0.617
6,2,3,4,10,1,0.15,0.05,0.95,0.617
6,2,2,4,10,1,0.15,0.05,0.95,0.617
6,2,1,4,10,1,0.15,0.05,0.95,0.617
6,2,0,4,10,1,0.15,0.05,0.95,0.617
6,2,5,4,10,0,0,0.1,0.95,0.05
6,2,4,4,10,0,0,0.1,0.95,0.05
6,2,3,4,10,0,0,0.1,0.95,0.05
6,2,2,4,10,0,0,0.1,0.95,0.05
6,2,1,4,10,0,0,0.1,0.95,0.05
6,2,0,4,10,0,0,0.1,0.95,0.05
6,2,5,4,10,1,0,0.1,0.95,0.05
6,2,4,4,10,1,0,0.1,0.95,0.05
6,2,3,4,10,1,0,0.1,0.95,0.05
6,2,2,4,10,1,0,0.1,0.95,0.05
6,2,1,4,10,1,0,0.1,0.95,0.05
6,2,0,4,10,1,0,0.1,0.95,0.05
6,2,5,4,10,0,0.15,0.1,0.95,0.605
6,2,4,4,10,0,0.15,0.1,0.95,0.624
6,2,3,4,10,0,0.15,0.1,0.95,0.651
6,2,2,4,10,0,0.15,0.1,0.95,0.679
6,2,1,4,10,0,0.15,0.1,0.95,0.692
6,2,0,4,10,0,0.15,0.1,0.95,0.598
6,2,5,4,10,1,0.15,0.1,0.95,0.598
6,2,4,4,10,1,0.15,0.1,0.95,0.598
6,2,3,4,10,1,0.15,0.1,0.95,0.598
6,2,2,4,10,1,0.15,0.1,0.95,0.598
6,2,1,4,10,1,0.15,0.1,0.95,0.598
6,2,0,4,10,1,0.15,0.1,0.95,0.598
6,2,5,4,10,0,0,0.01,0.75,0.05
6,2,4,4,10,0,0,0.01,0.75,0.05
6,2,3,4,10,0,0,0.01,0.75,0.05
6,2,2,4,10,0,0,0.01,0.75,0.05
6,2,1,4,10,0,0,0.01,0.75,0.05
6,2,0,4,10,0,0,0.01,0.75,0.05
6,2,5,4,10,1,0,0.01,0.75,0.05
6,2,4,4,10,1,0,0.01,0.75,0.05
6,2,3,4,10,1,0,0.01,0.75,0.05
6,2,2,4,10,1,0,0.01,0.75,0.05
6,2,1,4,10,1,0,0.01,0.75,0.05
6,2,0,4,10,1,0,0.01,0.75,0.05
6,2,5,4,10,0,0.15,0.01,0.75,0.723
6,2,4,4,10,0,0.15,0.01,0.75,0.77
6,2,3,4,10,0,0.15,0.01,0.75,0.814
6,2,2,4,10,0,0.15,0.01,0.75,0.837
6,2,1,4,10,0,0.15,0.01,0.75,0.819
6,2,0,4,10,0,0.15,0.01,0.75,0.701
6,2,5,4,10,1,0.15,0.01,0.75,0.701
6,2,4,4,10,1,0.15,0.01,0.75,0.701
6,2,3,4,10,1,0.15,0.01,0.75,0.701
6,2,2,4,10,1,0.15,0.01,0.75,0.701
6,2,1,4,10,1,0.15,0.01,0.75,0.701
6,2,0,4,10,1,0.15,0.01,0.75,0.701
6,2,5,4,10,0,0,0.05,0.75,0.05
6,2,4,4,10,0,0,0.05,0.75,0.05
6,2,3,4,10,0,0,0.05,0.75,0.05
6,2,2,4,10,0,0,0.05,0.75,0.05
6,2,1,4,10,0,0,0.05,0.75,0.05
6,2,0,4,10,0,0,0.05,0.75,0.05
6,2,5,4,10,1,0,0.05,0.75,0.05
6,2,4,4,10,1,0,0.05,0.75,0.05
6,2,3,4,10,1,0,0.05,0.75,0.05
6,2,2,4,10,1,0,0.05,0.75,0.05
6,2,1,4,10,1,0,0.05,0.75,0.05
6,2,0,4,10,1,0,0.05,0.75,0.05
6,2,5,4,10,0,0.15,0.05,0.75,0.605
6,2,4,4,10,0,0.15,0.05,0.75,0.639
6,2,3,4,10,0,0.15,0.05,0.75,0.681
6,2,2,4,10,0,0.15,0.05,0.75,0.715
6,2,1,4,10,0,0.15,0.05,0.75,0.713
6,2,0,4,10,0,0.15,0.05,0.75,0.592
6,2,5,4,10,1,0.15,0.05,0.75,0.592
6,2,4,4,10,1,0.15,0.05,0.75,0.592
6,2,3,4,10,1,0.15,0.05,0.75,0.592
6,2,2,4,10,1,0.15,0.05,0.75,0.592
6,2,1,4,10,1,0.15,0.05,0.75,0.592
6,2,0,4,10,1,0.15,0.05,0.75,0.592
6,2,5,4,10,0,0,0.1,0.75,0.05
6,2,4,4,10,0,0,0.1,0.75,0.05
6,2,3,4,10,0,0,0.1,0.75,0.05
6,2,2,4,10,0,0,0.1,0.75,0.05
6,2,1,4,10,0,0,0.1,0.75,0.05
6,2,0,4,10,0,0,0.1,0.75,0.05
6,2,5,4,10,1,0,0.1,0.75,0.05
6,2,4,4,10,1,0,0.1,0.75,0.05
6,2,3,4,10,1,0,0.1,0.75,0.05
6,2,2,4,10,1,0,0.1,0.75,0.05
6,2,1,4,10,1,0,0.1,0.75,0.05
6,2,0,4,10,1,0,0.1,0.75,0.05
6,2,5,4,10,0,0.15,0.1,0.75,0.543
6,2,4,4,10,0,0.15,0.1,0.75,0.567
6,2,3,4,10,0,0.15,0.1,0.75,0.6
6,2,2,4,10,0,0.15,0.1,0.75,0.631
6,2,1,4,10,0,0.15,0.1,0.75,0.639
6,2,0,4,10,0,0.15,0.1,0.75,0.534
6,2,5,4,10,1,0.15,0.1,0.75,0.534
6,2,4,4,10,1,0.15,0.1,0.75,0.534
6,2,3,4,10,1,0.15,0.1,0.75,0.534
6,2,2,4,10,1,0.15,0.1,0.75,0.534
6,2,1,4,10,1,0.15,0.1,0.75,0.534
6,2,0,4,10,1,0.15,0.1,0.75,0.534
